sku_ou_fichier,insunits,motif
D650L,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
M202,5,P16B_deduit_par_recoupement_catalogue: dim_native=49.0000 x facteur=10.0 = 490.000mm vs catalogue=490.000mm (ecart 0.00%)
D626,5,P16B_deduit_par_recoupement_catalogue: dim_native=174.9237 x facteur=10.0 = 1749.237mm vs catalogue=1750.000mm (ecart 0.04%)
1101C,5,P16B_deduit_par_recoupement_catalogue: dim_native=150.0000 x facteur=10.0 = 1500.000mm vs catalogue=1500.000mm (ecart 0.00%)
D881B,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D621,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D815,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D886,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D657,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D605,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
1323,5,P16B_deduit_par_recoupement_catalogue: dim_native=156.6818 x facteur=10.0 = 1566.818mm vs catalogue=1500.000mm (ecart 4.45%)
D754,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D888,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
1130,2,P16B_deduit_par_recoupement_catalogue: dim_native=6.9591 x facteur=304.8 = 2121.131mm vs catalogue=2150.000mm (ecart 1.34%)
1125,5,P16B_deduit_par_recoupement_catalogue: dim_native=215.0000 x facteur=10.0 = 2150.000mm vs catalogue=2150.000mm (ecart 0.00%)
D609,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D879,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.5573 x facteur=1.0 = 2000.557mm vs catalogue=2000.000mm (ecart 0.03%)
D900,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D843,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D716,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D651,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D710,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
1107,5,P16B_deduit_par_recoupement_catalogue: dim_native=150.0000 x facteur=10.0 = 1500.000mm vs catalogue=1500.000mm (ecart 0.00%)
D566,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D622,4,P16B_deduit_par_recoupement_catalogue: dim_native=1750.0000 x facteur=1.0 = 1750.000mm vs catalogue=1750.000mm (ecart 0.00%)
D652,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D608,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
M504,5,P16B_deduit_par_recoupement_catalogue: dim_native=103.0000 x facteur=10.0 = 1030.000mm vs catalogue=1030.000mm (ecart 0.00%)
D109,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
M252,5,P16B_deduit_par_recoupement_catalogue: dim_native=56.0000 x facteur=10.0 = 560.000mm vs catalogue=560.000mm (ecart 0.00%)
1102,5,P16B_deduit_par_recoupement_catalogue: dim_native=150.0000 x facteur=10.0 = 1500.000mm vs catalogue=1500.000mm (ecart 0.00%)
D840,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D632,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D896,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D711,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
M253,5,P16B_deduit_par_recoupement_catalogue: dim_native=46.0010 x facteur=10.0 = 460.010mm vs catalogue=460.000mm (ecart 0.00%)
D707,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D550,5,P16B_deduit_par_recoupement_catalogue: dim_native=150.0000 x facteur=10.0 = 1500.000mm vs catalogue=1500.000mm (ecart 0.00%)
1380,5,P16B_deduit_par_recoupement_catalogue: dim_native=3.8672 x facteur=10.0 = 38.672mm vs catalogue=40.000mm (ecart 3.32%)
D656,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D818,5,P16B_deduit_par_recoupement_catalogue: dim_native=202.9640 x facteur=10.0 = 2029.640mm vs catalogue=2000.000mm (ecart 1.48%)
CL1213C,4,P16B_deduit_par_recoupement_catalogue: dim_native=1803.0721 x facteur=1.0 = 1803.072mm vs catalogue=1800.000mm (ecart 0.17%)
D830,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D613,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D812,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.1986 x facteur=1.0 = 2000.199mm vs catalogue=2000.000mm (ecart 0.01%)
1204,5,P16B_deduit_par_recoupement_catalogue: dim_native=154.0320 x facteur=10.0 = 1540.320mm vs catalogue=1500.000mm (ecart 2.69%)
D835,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
M071,4,P16B_deduit_par_recoupement_catalogue: dim_native=880.0000 x facteur=1.0 = 880.000mm vs catalogue=880.000mm (ecart 0.00%)
1120,5,P16B_deduit_par_recoupement_catalogue: dim_native=215.0000 x facteur=10.0 = 2150.000mm vs catalogue=2150.000mm (ecart 0.00%)
M250,5,P16B_deduit_par_recoupement_catalogue: dim_native=77.0000 x facteur=10.0 = 770.000mm vs catalogue=770.000mm (ecart 0.00%)
D751,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
M403,5,P16B_deduit_par_recoupement_catalogue: dim_native=86.8624 x facteur=10.0 = 868.624mm vs catalogue=870.000mm (ecart 0.16%)
1103,5,P16B_deduit_par_recoupement_catalogue: dim_native=150.0000 x facteur=10.0 = 1500.000mm vs catalogue=1500.000mm (ecart 0.00%)
M302,5,P16B_deduit_par_recoupement_catalogue: dim_native=70.0000 x facteur=10.0 = 700.000mm vs catalogue=700.000mm (ecart 0.00%)
D882,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D749,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D717,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
