ref,famille,sfam,type,a_dxf,a_step,a_stl,format_exploitable
D901,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,False,True,True
SDPA1,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,False,False,False
SDPA2,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,False,True,True
SDPA3,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,False,False,False
SDPA4,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,False,False,False
US0740,Corniches,Stratistaff,T1_PROFIL_EXTRUDE,False,True,False,True
US1040,Corniches,Stratistaff,T1_PROFIL_EXTRUDE,False,True,False,True
D100,Corniches,LED,T1_PROFIL_EXTRUDE,False,False,True,True
D101,Corniches,LED,T1_PROFIL_EXTRUDE,False,True,True,True
D102,Corniches,LED,T1_PROFIL_EXTRUDE,False,True,True,True
D103,Corniches,LED,T1_PROFIL_EXTRUDE,False,True,True,True
D104,Corniches,LED,T1_PROFIL_EXTRUDE,False,True,True,True
D107,Corniches,LED,T1_PROFIL_EXTRUDE,False,True,True,True
D108,Corniches,LED,T1_PROFIL_EXTRUDE,False,True,True,True
D109,Corniches,LED,T1_PROFIL_EXTRUDE,False,False,True,True
D110,Corniches,LED,T1_PROFIL_EXTRUDE,False,True,True,True
D113,Corniches,LED,T1_PROFIL_EXTRUDE,False,True,True,True
D113M,Corniches,LED,T1_PROFIL_EXTRUDE,False,True,True,True
D114,Corniches,LED,T1_PROFIL_EXTRUDE,False,True,True,True
D114M,Corniches,LED,T1_PROFIL_EXTRUDE,False,True,True,True
D116,Corniches,LED,T1_PROFIL_EXTRUDE,False,True,True,True
D117,Corniches,LED,T1_PROFIL_EXTRUDE,False,True,True,True
D121,Corniches,LED,T1_PROFIL_EXTRUDE,False,False,True,True
D122,Corniches,LED,T1_PROFIL_EXTRUDE,False,False,True,True
D123,Corniches,LED,T1_PROFIL_EXTRUDE,False,False,True,True
D124,Corniches,LED,T1_PROFIL_EXTRUDE,False,False,True,True
D125,Corniches,LED,T1_PROFIL_EXTRUDE,False,False,True,True
D708,Corniches,LED,T1_PROFIL_EXTRUDE,False,True,True,True
D709,Corniches,LED,T1_PROFIL_EXTRUDE,False,True,True,True
D710,Corniches,LED,T1_PROFIL_EXTRUDE,False,True,True,True
D748,Corniches,LED,T1_PROFIL_EXTRUDE,False,True,True,True
D749,Corniches,LED,T1_PROFIL_EXTRUDE,False,True,True,True
EBP0430,Corniches,LED,T1_PROFIL_EXTRUDE,False,False,True,True
1102,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1103,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1104,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,True,True
1105,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,True,True
1106,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
1107,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1112,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,True,True
1115P,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
1120,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1121,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1124,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1125,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1130,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1131,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
1132,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,True,True
1140C,Moulures,Moulures,T1_PROFIL_EXTRUDE,True,True,False,True
1145C,Moulures,Moulures,T1_PROFIL_EXTRUDE,True,False,False,True
1150,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
1151,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,True,True
1155,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1156,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1165,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,True,True
1166,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1200,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1201,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1202,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,True,True
1204,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,True,True
1206,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1207,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1208,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,True,True
1209,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1210,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1211,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
1212,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
1214,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
1215,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
1216,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
1220,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1221,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1301,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,True,True
1304,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,True,True
1310,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,True,True
1318,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
1319,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
1321,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,True,True
1323,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,True,True
1324,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1325,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,True,True
1326,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
1327,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
1340,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
1341,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,True,True
1343,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1344,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1345,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1346,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
1348,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,True,True
1350,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
1361,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
1362,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
1363,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
1364,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1365,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1366,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1367,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,True,True
1370,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
1380,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,True,True
1381,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
1382,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
1383,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
1384,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
1385,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
9302,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,False,False,False
9304,Moulures,Moulures,T1_PROFIL_EXTRUDE,False,True,False,True
9315C,Moulures,Moulures,T1_PROFIL_EXTRUDE,True,False,False,True
SDC1,Moulures,Moulures,T1_PROFIL_EXTRUDE,True,True,False,True
SDC2,Moulures,Moulures,T1_PROFIL_EXTRUDE,True,True,False,True
1101BH,Moulures,Angles,T1_PROFIL_EXTRUDE,False,True,True,True
1101D,Moulures,Angles,T1_PROFIL_EXTRUDE,False,False,True,True
1101E,Moulures,Angles,T1_PROFIL_EXTRUDE,False,False,True,True
1101H,Moulures,Angles,T1_PROFIL_EXTRUDE,False,False,True,True
1102BH,Moulures,Angles,T1_PROFIL_EXTRUDE,False,True,False,True
1103BH,Moulures,Angles,T1_PROFIL_EXTRUDE,False,True,False,True
1103H,Moulures,Angles,T1_PROFIL_EXTRUDE,False,False,True,True
1104B,Moulures,Angles,T1_PROFIL_EXTRUDE,False,False,True,True
1107E,Moulures,Angles,T1_PROFIL_EXTRUDE,False,False,False,False
1107P,Moulures,Angles,T1_PROFIL_EXTRUDE,False,False,True,True
1200BH,Moulures,Angles,T1_PROFIL_EXTRUDE,False,True,False,True
1202BH,Moulures,Angles,T1_PROFIL_EXTRUDE,False,True,False,True
1204BH,Moulures,Angles,T1_PROFIL_EXTRUDE,False,False,True,True
1204H,Moulures,Angles,T1_PROFIL_EXTRUDE,False,False,True,True
1206R,Moulures,Angles,T1_PROFIL_EXTRUDE,False,True,False,True
1206S,Moulures,Angles,T1_PROFIL_EXTRUDE,False,True,False,True
1207BH,Moulures,Angles,T1_PROFIL_EXTRUDE,False,True,False,True
1207E,Moulures,Angles,T1_PROFIL_EXTRUDE,False,False,False,False
1210BH,Moulures,Angles,T1_PROFIL_EXTRUDE,False,True,False,True
BP10,Moulures,Plate-bandes,T1_PROFIL_EXTRUDE,False,False,False,False
BP20,Moulures,Plate-bandes,T1_PROFIL_EXTRUDE,False,False,False,False
BP30,Moulures,Plate-bandes,T1_PROFIL_EXTRUDE,False,False,False,False
D505,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D510,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,True,True,True
D513,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D515,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,True,True,True
D525,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D530,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D535,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D540,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D550,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,True,True,True
D566,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D569,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,True,True,True
D613,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D615,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,True,True,True
D616A,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D616B,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D617,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,True,True,True
D628,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,True,True,True
D629,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,True,True,True
D650A,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D650B,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D652A,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D652B,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D711,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D712,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,True,True,True
D715,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,True,True,True
D716,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D810,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D812,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D813,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D814,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,True,True,True
D815,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,True,True,True
D818,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D835,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D840,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,True,True,True
D843,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D844,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D845,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,True,True,True
D846,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D878,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D879,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D879A,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,False,False
D879B1,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,False,False
D879B2,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,False,False
D879B3,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,False,False
D879C,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,False,False
D880B,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D881,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D881B,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D882,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D882B,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,False,False
D883,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,False,False
D884,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,False,False
D885,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,False,False
D887,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D889,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D890,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,False,False
D893,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,False,False
D894,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,True,False,True
D895,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,False,False
D897,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D898,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,True,True,True
D899,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
D903,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,True,True
R561,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,False,False
S562,Corniches,Ornementées,T1_PROFIL_EXTRUDE,False,False,False,False
1101C,Moulures,Cimaises,T1_PROFIL_EXTRUDE,False,False,True,True
1103C,Moulures,Cimaises,T1_PROFIL_EXTRUDE,False,False,False,False
1141C,Moulures,Cimaises,T1_PROFIL_EXTRUDE,True,True,False,True
7070,Parements,Contemporains,T2_RELIEF_PLANAIRE,False,True,True,True
7071,Parements,Contemporains,T2_RELIEF_PLANAIRE,True,True,True,True
7072,Parements,Contemporains,T2_RELIEF_PLANAIRE,True,True,True,True
7073,Parements,Contemporains,T2_RELIEF_PLANAIRE,True,True,True,True
7074,Parements,Contemporains,T2_RELIEF_PLANAIRE,True,True,True,True
7075,Parements,Contemporains,T2_RELIEF_PLANAIRE,True,True,True,True
7078,Parements,Contemporains,T2_RELIEF_PLANAIRE,True,True,True,True
7079,Parements,Contemporains,T2_RELIEF_PLANAIRE,True,True,False,True
SD7045,Parements,Contemporains,T2_RELIEF_PLANAIRE,False,False,False,False
SD7046,Parements,Contemporains,T2_RELIEF_PLANAIRE,False,False,False,False
SD7055,Parements,Contemporains,T2_RELIEF_PLANAIRE,False,False,False,False
7036,Parements,Modernes,T2_RELIEF_PLANAIRE,True,True,True,True
7036PLIN,Parements,Modernes,T2_RELIEF_PLANAIRE,True,True,True,True
7036U,Parements,Modernes,T2_RELIEF_PLANAIRE,True,True,True,True
7080,Parements,Modernes,T2_RELIEF_PLANAIRE,False,True,False,True
CL30,Parements,Modernes,T2_RELIEF_PLANAIRE,False,True,False,True
CL32,Parements,Modernes,T2_RELIEF_PLANAIRE,False,False,False,False
CL33,Parements,Modernes,T2_RELIEF_PLANAIRE,False,False,False,False
CL34,Parements,Modernes,T2_RELIEF_PLANAIRE,False,False,False,False
CL35,Parements,Modernes,T2_RELIEF_PLANAIRE,True,False,False,True
CL36,Parements,Modernes,T2_RELIEF_PLANAIRE,True,False,False,True
7038,Parements,Briques,T2_RELIEF_PLANAIRE,True,False,False,True
7040,Parements,Briques,T2_RELIEF_PLANAIRE,False,False,False,False
7041,Parements,Briques,T2_RELIEF_PLANAIRE,False,False,False,False
7091,Parements,Gdes dimensions,T2_RELIEF_PLANAIRE,False,False,False,False
CL10,Parements,Gdes dimensions,T2_RELIEF_PLANAIRE,True,False,False,True
CL11,Parements,Gdes dimensions,T2_RELIEF_PLANAIRE,True,False,False,True
CL12,Parements,Gdes dimensions,T2_RELIEF_PLANAIRE,True,True,True,True
CL1213A,Parements,Gdes dimensions,T2_RELIEF_PLANAIRE,False,False,True,True
CL1213B,Parements,Gdes dimensions,T2_RELIEF_PLANAIRE,False,False,True,True
CL1213C,Parements,Gdes dimensions,T2_RELIEF_PLANAIRE,False,False,True,True
CL1213D,Parements,Gdes dimensions,T2_RELIEF_PLANAIRE,False,False,True,True
CL1374,Parements,Gdes dimensions,T2_RELIEF_PLANAIRE,True,False,False,True
CL39,Parements,Gdes dimensions,T2_RELIEF_PLANAIRE,False,True,True,True
1213,Parements,Tuileries,T2_RELIEF_PLANAIRE,False,False,True,True
1213BH,Parements,Tuileries,T2_RELIEF_PLANAIRE,False,False,True,True
1213G,Parements,Tuileries,T2_RELIEF_PLANAIRE,False,False,True,True
1400,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
1401,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
1402,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
1403,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
1404,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
1405,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
1406,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
1407,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
1408,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
1409,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,True,True
1410,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
1412,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
1413,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
1414,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
1415,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
1416,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
1417,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
1418,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
1419,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
1420,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
1421,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
1436,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
M039,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
M045,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
M046,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
M048,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,True,True
M051,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
M054,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
M055,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
M060,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,True,True
M067,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,True,True
M068,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
M069,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,False,False
M071,Encadrements,Rosaces,T3_SOLIDE_DE_REVOLUTION,False,False,True,True
